cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
1	21.8822694927876	1	4	1	2	12	4
9	21.8852179652968	1	4	1	2	15	4
8	21.8950218974569	1	1	1	4	12	5
2	21.910800627149	1	1	1	1	22	5
5	21.9354603744068	1	2	1	4	13	4
4	21.9664747199931	1	0	1	2	16	7
6	21.9975148427257	1	1	1	0	16	7
0	22.0426903168627	1	4	1	2	16	7
7	22.0963921907314	1	3	1	2	26	3
1	22.0977485906988	1	4	1	2	13	4
2	22.0990060544063	1	1	1	1	23	5
5	22.1015809536402	1	1	1	4	12	5
7	22.1180191044186	1	2	1	2	25	4
8	22.1352822132831	1	1	1	4	13	5
6	22.1780642256563	1	1	1	0	17	7
4	22.247888928694	1	0	1	2	17	7
9	22.3261567116206	1	3	1	2	15	4
3	22.4213201463645	1	3	1	0	23	5
0	22.6288911611264	1	4	1	2	17	7
2	22.6291665007375	1	1	1	1	24	5
9	22.6316773997169	1	3	1	2	16	4
4	22.6350595467738	1	1	1	2	18	6
5	22.6437823279775	1	1	1	4	13	5
1	22.6567448061905	1	4	1	2	14	4
9	22.6719411724262	1	3	1	2	17	4
0	22.6875633514501	1	4	1	2	16	7
3	22.7096960964627	1	3	1	0	24	5
6	22.7540237690337	1	1	1	0	17	6
7	22.8726297552712	1	2	1	2	26	4
8	23.0053136433489	1	2	1	4	14	4
4	23.0056751270095	1	1	1	2	19	6
6	23.0093477745322	1	1	1	0	18	6
2	23.0142566854847	1	1	1	1	25	5
7	23.020340989322	1	2	1	2	27	4
8	23.0317231938025	1	2	2	4	14	4
0	23.0675563886543	1	4	1	2	17	7
9	23.1100869066795	1	3	1	2	18	4
1	23.1572382971426	1	4	1	2	15	4
3	23.2543780654451	1	3	1	0	23	5
5	23.3623969331165	1	1	1	4	14	5
2	23.3647482429878	1	1	1	1	26	5
3	23.3679666742464	1	3	1	0	24	5
8	23.3765727598002	1	2	2	4	15	4
5	23.3956244941583	1	1	1	5	14	5
2	23.4160314388355	1	1	1	1	25	5
9	23.4381395093878	1	3	1	2	17	4
0	23.4634468685617	1	4	1	2	17	6
7	23.4894570614924	1	2	1	2	28	4
4	23.5223254728844	1	1	1	2	18	6
1	23.5801323707929	1	4	1	2	16	4
6	23.6641901861658	1	1	1	0	19	6
6	23.6710274469169	1	1	1	0	18	6
7	23.6786512758645	1	2	1	2	29	4
3	23.686645165837	1	3	1	0	23	5
2	23.6948334284189	1	1	1	1	24	5
9	23.7048565333771	1	3	1	2	18	4
8	23.7194617398145	1	2	2	4	15	3
1	23.734119515686	1	3	1	2	15	5
0	23.751405019133	1	4	1	2	17	5
4	23.7693207131761	1	1	1	2	19	6
5	23.8301560411292	1	1	1	4	14	5
7	23.8350575592431	1	2	1	2	28	4
8	23.8514900047394	1	2	2	4	14	3
2	23.8624560244443	1	1	1	1	25	5
0	23.8742222495439	1	4	1	2	18	5
4	23.8862077545436	1	1	1	2	20	6
1	23.9001555459636	1	3	1	2	16	5
